Intrebare,Raspuns1,Raspuns2,Raspuns3,IndiceCorect
What does a programmer do?,Create programming languages,Develop software by using algorithms in a programming language,Create problems that can only be solved using software,2
What can be used as data type in programming?,Letters,Numbers,All the rest,3
Select an example of two popular programming languages:,Python and Java,Silver and Crast,TTCC and Marvel,1
Name the two basic instructions used in programming?,If Clause and Loops,Classes and Graphs,Compiler and interpreter,1
What is the objective of programming?,To create problems in existing products,"To solve problems, automate tasks and create new products",To solve problems with a program for every issue in the world,2
What are the main two most basic concepts used in programming?,Classes and objects,APIs and HTTPS requests,Algorithms and data structures,3
How is programming used today in the context of digital content?,By developing content through digital art,To create enhanced content,All other options,3
Which of the following is a data structure?,Queue,Honeycomb,Note,1
Which one is NOT a sorting algorithm?,Merge sort,Bubble sort,Fire sort,3
Which of the following is NOT a benefit of using classes in OOP?,Make code more secure,Make code more hard to understand,Make code easier to distribute,2
Which OOP benefit allows easy code expansion by programmers?,Inheritance,Brotherhood,Encapsulation,1
What is a programming architecture?,The output of a software application,An implementation of a software application,A high-level design of a software application,3
Which of the following is NOT a data structure?,Blocks,Trees,Stacks,1
Which one is NOT a common class of algorithms?,Guessing algorithms,Sorting algorithms,Traversal algorithms,1
What is a class in OOP?,Encapsulation,Readability,Reusability,2
Which one is NOT an example of architecture?,Layered architecture,Client-server architecture,Fast-response architecture,3
What role does backend development play?,To create the server-side logic of a web app,To design the web app,To create the content of the web app,1
What is a content management system?,"An app used to create, manage, and modify content for a website",A programming language,An web framework,1
What is the database used for?,Store data that is used for the website,Store websites,Create data for the webs,1
What is a web framework?,A type of web server,A collection of tools and libraries used to create a website,A tool to design websites,2
What defines a responsive design?,A design where content is adapted for context,A design that applies for different screen sizes,All the rest,3
Which is NOT a core technology of web development?,Mobile development,CSS,HTML,1
