Question,Answer1,Answer2,Answer3,CorrectIndex
Who gifted the Statue of Liberty to the United States?,France,United Kingdom,Canada,1
Who wrote the Harry Potter book?,J.K. Rowling,Harrison Ford,Mircea Eliade,1
In what year did the Berlin Wall fall?,1990,1991,1989,3
Which was the most watched edition of the Olympic Games?,Beijing 2008,Paris 2024,London 2012,1
Who painted the famous painting The Last Supper?,Michelangelo,Pablo Picasso,Leonardo da Vinci,3
Which Greek philosopher was the mentor of Alexander the Great?,Pythagoras,Aristotle,Dionysus,2
What is the name of Saturn’s largest natural satellite?,Europa,Titan,Pantel,2
Which country has the most islands?,Norway,Sweden,Finland,1
What is the longest river in the world?,Nile,Amazon,Mississippi,1
Who discovered America?,Amerigo Vespucci,Ferdinand Magellan,Christopher Columbus,3
In what year did World War I begin?,1912,1914,1916,2
Who wrote the novel Les Misérables?,Victor Hugo,Charles Dickens,Leo Tolstoy,1
What chemical element has the symbol O?,Hydrogen,Gold,Oxygen,3
Which is the most populous country in the world?,Russia,India,United States of America,2
Who composed the 9th Symphony?,Beethoven,Mozart,Bach,1
What was the name of the god of wine in Greek mythology?,Apollo,Dionysus,Demeter,2
Which science studies human behavior and mental processes?,Psychiatry,Psychology,Psychoanalysis,3
Which organ in the human body produces insulin?,Spleen,Stomach,Pancreas,3
In what year did the French Revolution take place?,1848,1801,1789,3
Which country has the most time zones?,France,Russia,Canada,2
Who was the last Byzantine emperor killed defending Constantinople?,Andronikos II Palaiologos,Constantine XI Palaiologos,John VIII Palaiologos,2
What is the only official UN language written from right to left?,Arabic,Hebrew,Japanese,1
