Question,Answer1,Answer2,Answer3,CorrectIndex
Which country has won the FIFA World Cup the most times?,Brazil,Argentina,France,1
Where was the first FIFA World Cup held?,Uruguay,Paraguay,Brazil,1
Which Formula 1 drivers have the most world titles?,Hamilton & Schumacher,Hamilton & Verstappen,Schumacher & Alonso,1
How many Grand Slam titles has Simona Halep won?,1,2,4,2
Name a Romanian athlete who won an Olympic medal in Paris 2024:,Simona Halep,Sandra Izbasa,David Popovici,3
Which football club has won the UEFA Champions League the most times?,Real Madrid,Barcelona,AC Milan,1
Which footballer has scored the most goals in history?,Cristiano Ronaldo,Lionel Messi,Pele,1
What is the official distance of a marathon?,37km,100km,42km,3
How many wins does Romania have in the UEFA European Championship?,2,6,4,1
Who is the most decorated Olympic swimmer in history?,Michael Phelps,Gary Hall Jr.,Leon Marchand,1
How many points is a try worth in rugby?,3 points,5 points,7 points,2
Who has won the Tour de France the most times?,Joop Zoetemelk,George Hincapie,Eddy Merckx,3
Who is the male tennis player with the most Grand Slam titles?,Nadal,Djokovic,Federer,2
Who was the MotoGP World Champion in 2020?,Marc Marquez,Joan Mir,Valentino Rossi,2
Who holds the record for the fastest KO in UFC history?,Jorge Masvidal,Conor McGregor,Israel Adesanya,1
In what year did Romania last win the Men Handball World Cup?,1970,1974,1968,2
In tennis what is the term for a 40-40 tie?,Deuce,Draw,Even,1
Rugby: What is the name of the 5-point score when the ball is grounded?,Try,Goal,Basket,1
In rugby sevens how long does a standard match last?,10,14,30,2
In tennis which Grand Slam is played on clay?, Wimbledon,Roland Garros,Australian Open,2
Boxing: What is the name of the punch using a bent elbow?,Cross,Uppercut,Hook,1
Who won medals in five consecutive Summer Olympic Games?,Carl Lewis,Michael Phelps,Ivan Patzaichin,1
